2026-04-29 21:31:25,708 - INFO - Starting Extraction Pipeline for 71 cities...
2026-04-29 21:31:25,709 - INFO - [1/71] Processing: Cairo City, Cairo...
2026-04-29 21:31:27,054 - INFO - [2/71] Processing: New Cairo, Cairo...
2026-04-29 21:31:27,968 - INFO - [3/71] Processing: Helwan, Cairo...
2026-04-29 21:31:28,871 - INFO - [4/71] Processing: Alexandria City, Alexandria...
2026-04-29 21:31:29,728 - INFO - [5/71] Processing: Borg El Arab, Alexandria...
2026-04-29 21:31:30,612 - INFO - [6/71] Processing: Abu Qir, Alexandria...
2026-04-29 21:31:31,511 - INFO - [7/71] Processing: Giza City, Giza...
2026-04-29 21:31:32,401 - INFO - [8/71] Processing: 6th of October, Giza...
2026-04-29 21:31:33,293 - INFO - [9/71] Processing: Sheikh Zayed, Giza...
2026-04-29 21:31:34,299 - INFO - [10/71] Processing: Damanhour, Beheira...
2026-04-29 21:31:35,189 - INFO - [11/71] Processing: El Delengat, Beheira...
2026-04-29 21:31:36,069 - INFO - [12/71] Processing: Kafr El Dawar, Beheira...
2026-04-29 21:31:36,959 - INFO - [13/71] Processing: Mansoura, Dakahlia...
2026-04-29 21:31:37,848 - INFO - [14/71] Processing: Mit Ghamr, Dakahlia...
2026-04-29 21:31:38,772 - INFO - [15/71] Processing: Talkha, Dakahlia...
2026-04-29 21:31:39,699 - INFO - [16/71] Processing: Zagazig, Sharqia...
2026-04-29 21:31:40,622 - INFO - [17/71] Processing: 10th of Ramadan, Sharqia...
2026-04-29 21:31:41,542 - INFO - [18/71] Processing: Belbeis, Sharqia...
2026-04-29 21:31:42,453 - INFO - [19/71] Processing: Tanta, Gharbia...
2026-04-29 21:31:43,360 - INFO - [20/71] Processing: Mahalla El Kubra, Gharbia...
2026-04-29 21:31:44,359 - INFO - [21/71] Processing: Zifta, Gharbia...
2026-04-29 21:31:45,335 - INFO - [22/71] Processing: Shibin El Kom, Monufia...
2026-04-29 21:31:46,361 - INFO - [23/71] Processing: Menouf, Monufia...
2026-04-29 21:31:47,428 - INFO - [24/71] Processing: Ashmoun, Monufia...
2026-04-29 21:31:48,550 - INFO - [25/71] Processing: Banha, Qalyubia...
2026-04-29 21:31:49,498 - INFO - [26/71] Processing: Shubra El Kheima, Qalyubia...
2026-04-29 21:31:50,414 - INFO - [27/71] Processing: Obour, Qalyubia...
2026-04-29 21:31:51,348 - INFO - [28/71] Processing: Kafr El Sheikh City, Kafr El Sheikh...
2026-04-29 21:31:52,283 - INFO - [29/71] Processing: Desouk, Kafr El Sheikh...
2026-04-29 21:31:53,200 - INFO - [30/71] Processing: Baltim, Kafr El Sheikh...
2026-04-29 21:31:54,123 - INFO - [31/71] Processing: Damietta City, Damietta...
2026-04-29 21:31:55,006 - INFO - [32/71] Processing: Ras El Bar, Damietta...
2026-04-29 21:31:55,871 - INFO - [33/71] Processing: New Damietta, Damietta...
2026-04-29 21:31:56,787 - INFO - [34/71] Processing: Port Said City, Port Said...
2026-04-29 21:31:57,745 - INFO - [35/71] Processing: Port Fouad, Port Said...
2026-04-29 21:31:58,674 - INFO - [36/71] Processing: Ismailia City, Ismailia...
2026-04-29 21:31:59,618 - INFO - [37/71] Processing: Fayid, Ismailia...
2026-04-29 21:32:00,534 - INFO - [38/71] Processing: Suez City, Suez...
2026-04-29 21:32:01,451 - INFO - [39/71] Processing: Ain Sokhna, Suez...
2026-04-29 21:32:02,372 - INFO - [40/71] Processing: Faiyum City, Faiyum...
2026-04-29 21:32:03,290 - INFO - [41/71] Processing: Sinnuris, Faiyum...
2026-04-29 21:32:04,204 - INFO - [42/71] Processing: Beni Suef City, Beni Suef...
2026-04-29 21:32:05,129 - INFO - [43/71] Processing:  الواسطى, Beni Suef...
2026-04-29 21:32:06,070 - INFO - [44/71] Processing: Minya City, Minya...
2026-04-29 21:32:07,045 - INFO - [45/71] Processing: Mallawi, Minya...
2026-04-29 21:32:08,051 - INFO - [46/71] Processing: Beni Mazar, Minya...
2026-04-29 21:32:09,090 - INFO - [47/71] Processing: Assiut City, Assiut...
2026-04-29 21:32:10,001 - INFO - [48/71] Processing: Abnoub, Assiut...
2026-04-29 21:32:10,961 - INFO - [49/71] Processing: Sohag City, Sohag...
2026-04-29 21:32:11,880 - INFO - [50/71] Processing: Tahta, Sohag...
2026-04-29 21:32:12,815 - INFO - [51/71] Processing: Qena City, Qena...
2026-04-29 21:32:13,760 - INFO - [52/71] Processing: Nag Hammadi, Qena...
2026-04-29 21:32:14,627 - INFO - [53/71] Processing: Luxor City, Luxor...
2026-04-29 21:32:15,538 - INFO - [54/71] Processing: Esna, Luxor...
2026-04-29 21:32:16,478 - INFO - [55/71] Processing: Aswan City, Aswan...
2026-04-29 21:32:17,402 - INFO - [56/71] Processing: Edfu, Aswan...
2026-04-29 21:32:18,316 - INFO - [57/71] Processing: Kom Ombo, Aswan...
2026-04-29 21:32:19,241 - INFO - [58/71] Processing: Marsa Matrouh, Matrouh...
2026-04-29 21:32:20,213 - INFO - [59/71] Processing: El Alamein, Matrouh...
2026-04-29 21:32:21,129 - INFO - [60/71] Processing: Siwa, Matrouh...
2026-04-29 21:32:22,041 - INFO - [61/71] Processing: Hurghada, Red Sea...
2026-04-29 21:32:22,964 - INFO - [62/71] Processing: Safaga, Red Sea...
2026-04-29 21:32:23,908 - INFO - [63/71] Processing: Marsa Alam, Red Sea...
2026-04-29 21:32:24,816 - INFO - [64/71] Processing: Kharga, New Valley...
2026-04-29 21:32:25,769 - INFO - [65/71] Processing: Dakhla, New Valley...
2026-04-29 21:32:26,671 - INFO - [66/71] Processing: Farafra, New Valley...
2026-04-29 21:32:27,608 - INFO - [67/71] Processing: Arish, North Sinai...
2026-04-29 21:32:28,515 - INFO - [68/71] Processing: Bir al-Abed, North Sinai...
